rank,score,role,editorial_bucket,title,primary_phylum,primary_genus,matched_groups,inputs,outputs,claims,strategic_note,paper_url,paper_arxiv_id,abstract
93,100,core trend paper,A. thesis anchor: representation shift,VDFE: Difference-Aware 3D Scene Editing with Non-Intrusive Video Diffusion Priors for Multi-View Consistency and Efficiency,3D Vision & Geometry,3D Gaussian Splatting,general_reconstruction; gaussian_radiance; pose_calibration_localization; surface_occupancy; generation_editing; data_benchmark,multi-view images; video / temporal; multimodal / language,camera pose; Gaussian map; mesh / surface; radiance field / NVS; editable / generative 3D,foundation/prior; efficiency; benchmark/data; editing/generation,Use as a bridge between reconstruction representation and metric pose/calibration reliability.,,,"Text-driven 3D editing, enabled by advancements in 3D reconstruction techniques such as NeRF and 3D Gaussian Splatting, aims to provide intuitive scene customization. However, existing methods frequently exhibit limitations in controllability and consistency. To address these shortcomings, we propose \textbf{VDFE}, a difference-aware 3D scene editing method based on non-intrusive utilization of pre-trained video diffusion priors, which integrates Optimal Control Guided Flow Editing (FlowOCE), Decoupled Flow Difference (DFD), and Difference-Aware Gaussians Editing (DAGE). Specifically, FlowOCE treats the editing process as an optimal control problem, optimizing a noise-free editing trajectory to minimize unintended modifications in non-target region; DFD precisely locates editing region by analyzing flow differences, which supplies priors for the subsequent optimization process; and DAGE leverages precise localization to selectively update 3D Gaussians for efficient and precise refinement. Extensive experiments demonstrate that our method significantly outperforms existing methods in both qualitative and quantitative evaluations, achieving state-of-the-art (SOTA) performance."
94,100,core trend paper,A. thesis anchor: representation shift,VerseCrafter: Dynamic Realistic Video World Model with 4D Geometric Control,3D Vision & Geometry,3D Gaussian Splatting,general_reconstruction; gaussian_radiance; dynamic_4d; surface_occupancy; robotics_mapping; data_benchmark,video / temporal,point map / point cloud; Gaussian map; mesh / surface; occupancy / voxel; radiance field / NVS; 4D scene; editable / generative 3D,unified pipeline; scale; robustness; dynamic; benchmark/data; editing/generation,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"Video world models aim to simulate dynamic, real-world environments, yet existing methods struggle to provide unified and precise control over camera and multi-object motion, as videos inherently operate dynamics in the projected 2D image plane. To bridge this gap, we introduce VerseCrafter, a 4D-aware video world model that enables explicit and coherent control over both camera and object dynamics within a unified 4D geometric world state. Our approach is centered on a novel 4D Geometric Control representation, which encodes the world state through a static background point cloud and per-object 3D Gaussian trajectories. This representation captures not only an object's path but also its probabilistic 3D occupancy over time, offering a flexible, category-agnostic alternative to rigid bounding boxes or parametric models. These 4D controls are rendered into conditioning signals for a pretrained video diffusion model, enabling the generation of high-fidelity, view-consistent videos that precisely adhere to the specified dynamics. Unfortunately, another major challenge lies in the scarcity of large-scale training data with explicit 4D annotations. We address this by developing an automatic data engine that extracts the required 4D controls from in-the-wild videos, allowing us to train our model on a massive and diverse dataset. We will release our code, model, and dataset to support research in realistic and controllable video world models."
95,100,core trend paper,A. thesis anchor: representation shift,Zero-Shot Reconstruction of Animatable 3D Avatars with Cloth Dynamics from a Single Image,3D Vision & Geometry,3D Gaussian Splatting,general_reconstruction; gaussian_radiance; depth_correspondence; dynamic_4d; surface_occupancy; data_benchmark,single image; RGB-D / depth,depth / normals; Gaussian map; mesh / surface; radiance field / NVS; 4D scene,foundation/prior; unified pipeline; efficiency; scale; dynamic,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"Existing single-image 3D human avatar methods primarily rely on rigid joint transformations, limiting their ability to model realistic cloth dynamics. We present DynaAvatar, a zero-shot framework that reconstructs animatable 3D human avatars with motion-dependent cloth dynamics from a single image. Trained on large-scale multi-person motion datasets, DynaAvatar employs a Transformer-based feed-forward architecture that directly predicts dynamic 3D Gaussian deformations without subject-specific optimization. To overcome the scarcity of dynamic captures, we introduce a static-to-dynamic knowledge transfer strategy: a Transformer pretrained on large-scale static captures provides strong geometric and appearance priors, which are efficiently adapted to motion-dependent deformations through lightweight LoRA fine-tuning on dynamic captures. We further propose the DynaFlow loss, an optical flow–guided objective that provides reliable motion-direction geometric cues for cloth dynamics in rendered space. Finally, we reannotate the missing or noisy SMPL-X fittings in existing dynamic capture datasets, as most public dynamic capture datasets contain incomplete or unreliable fittings that are unsuitable for training high-quality 3D avatar reconstruction models. Experiments demonstrate that DynaAvatar produces visually rich and generalizable animations, outperforming prior methods. Code, pretrained models, and reannotations will be released."
96,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,ChronoGS: Disentangling Invariants and Changes in Multi-Period Scenes,3D Vision & Geometry,3D Gaussian Splatting,gaussian_radiance; dynamic_4d; robotics_mapping; data_benchmark,video / temporal,Gaussian map; radiance field / NVS,unified pipeline; scale; robustness; dynamic; benchmark/data,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"Multi-period image collections are common in real-world applications. Cities are re-scanned for mapping, construction sites are revisited for progress tracking, and natural regions are monitored for environmental change. Such data form multi-period scenes, where geometry and appearance evolve. Reconstructing such scenes is an important yet underexplored problem. Existing pipelines rely on incompatible assumptions: static and in-the-wild methods enforce a single geometry, while dynamic ones assume smooth motion, both failing under long-term, discontinuous changes. To solve this problem, we introduce ChronoGS, a temporally modulated Gaussian representation that reconstructs all periods within a unified anchor scaffold. It‘s also designed to disentangle stable and evolving components, achieving temporally consistent reconstruction of multi-period scenes. To catalyze relevant research, we release ChronoScene dataset, a benchmark of real and synthetic multi-period scenes, capturing geometric and appearance variation. Experiments demonstrate that ChronoGS consistently outperforms baselines in reconstruction quality and temporal consistency. Our code and the ChronoScene dataset will be made publicly available."
97,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,DROID-SLAM in the Wild,3D Vision & Geometry,Pose Estimation,general_reconstruction; pose_calibration_localization; robotics_mapping; data_benchmark,multi-view images,camera pose,foundation/prior; efficiency; robustness; dynamic,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"We present a robust, real-time RGB SLAM system that handles dynamic environments by leveraging differentiable Uncertainty-aware Bundle Adjustment. Traditional SLAM methods typically assume static scenes, leading to tracking failures in the presence of motion. Recent dynamic SLAM approaches attempt to address this challenge using predefined dynamic priors or uncertainty-aware mapping, but they remain limited when confronted with unknown dynamic objects or highly cluttered scenes where geometric mapping becomes unreliable. In contrast, our method estimates per-pixel uncertainty by exploiting multi-view visual feature inconsistency, enabling robust tracking and reconstruction even in real-world environments. The proposed system achieves state-of-the-art camera poses and scene geometry in cluttered dynamic scenarios while running in real time at around 8 FPS. The source code will be publicly released."
98,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,Dual-Agent Reinforcement Learning for Adaptive and Cost-Aware Visual–Inertial Odometry,3D Vision & Geometry,Pose Estimation,general_reconstruction; pose_calibration_localization; robotics_mapping; data_benchmark,,camera pose,foundation/prior; unified pipeline; efficiency; robustness; benchmark/data,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Visual-Inertial Odometry (VIO) is a critical component for robust ego-motion estimation, enabling foundational capabilities such as autonomous navigation in robotics and real-time 6-DoF tracking for augmented reality.Existing methods face a well-known trade-off: filter-based approaches are efficient but prone to drift, while optimization-based methods, though accurate, rely on computationally prohibitive Visual-Inertial Bundle Adjustment (VIBA) that is difficult to run on resource-constrained platforms.Rather than removing VIBA altogether, we aim to reduce how often and how heavily it must be invoked. To this end, we cast two key design choices in modern VIO, when to run the visual frontend and how strongly to trust its output, as sequential decision problems, and solve them with lightweight reinforcement learning (RL) agents. Our framework introduces a lightweight, dual-pronged RL policy that serves as our core contribution: (1) a Select Agent intelligently gates the entire VO pipeline based only on high-frequency IMU data; and (2) a composite Fusion Agent that first estimates a robust velocity state via a supervised network , before an RL policy adaptively fuses the full (p, v, q) state.Experiments on the EuRoC MAV and TUM-VI datasets show that, in our unified evaluation, the proposed method achieves a more favorable accuracy–efficiency–memory trade-off than prior GPU-based VO/VIO systems: it attains the best average ATE while running up to $1.77\times$ faster and using less GPU memory. Compared to classical optimization-based VIO systems, our approach maintains competitive trajectory accuracy while substantially reducing computational load."
99,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,ForeHOI: Feed-forward 3D Object Reconstruction from Daily Hand-Object Interaction Videos,3D Vision & Geometry,3D Reconstruction,general_reconstruction; surface_occupancy; robotics_mapping; data_benchmark,single image,mesh / surface,unified pipeline; scale; robustness; benchmark/data,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"The ubiquity of monocular videos capturing daily hand-object interactions presents a valuable resource for embodied intelligence. While 3D hand reconstruction from in-the-wild videos has seen significant progress, reconstructing the involved objects remains challenging due to severe occlusions and the complex, coupled motion of the camera, hands, and object. In this paper, we introduce ForeHOI, a novel feed-forward model that directly reconstructs 3D object geometry from monocular hand-object interaction videos within one minute of inference time, eliminating the need for any pre-processing steps. Our key insight is that, the joint prediction of 2D mask inpainting and 3D shape completion in a feed-forward framework can effectively address the problem of severe occlusion in monocular hand-held object videos, thereby achieving results that outperform the performance of  optimization-based methods. The information exchanges between the 2D and 3D shape completion boosts the overall reconstruction quality, enabling the framework to effectively handle severe hand-object occlusion. Furthermore, to support the training of our model, we contribute the first large-scale, high-fidelity synthetic dataset of hand-object interactions with comprehensive annotations. Extensive experiments demonstrate that ForeHOI achieves state-of-the-art performance in object reconstruction, significantly outperforming previous methods with around a 100x speedup."
100,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,Haptic Neural Fields: Bringing Tactile Interactions to 3D Rendered Scenes,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; surface_occupancy; robotics_mapping,,mesh / surface; editable / generative 3D,dynamic; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"We address the problem of making 3D scenes interactive by asking: what would objects feel like if touched in a virtual environment? State-of-the-art 3D rendering methods provide compelling visual realism, but they fall short in modeling physical interactions, such as haptic feedback. We propose a framework that learns the correspondence between user actions and tactile responses, enabling the generation of touch-based signals directly from simulated interactions in 3D scenes. Our approach leverages a neural field representation conditioned on geometry and action to synthesize material-specific tactile signals. Experiments show that the generated signals reliably convey material properties and interaction dynamics. This paves the way toward interactive, touch-aware virtual environments with realistic haptic feedback."
101,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,HOLO: Homography-Guided Pose Estimator Network for Fine-Grained Visual Localization on SD Maps,3D Vision & Geometry,Pose Estimation,general_reconstruction; pose_calibration_localization; robotics_mapping; data_benchmark,multi-view images; LiDAR / driving,camera pose,foundation/prior; scale; benchmark/data,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Visual localization on standard-definition (SD) maps has emerged as a promising low-cost and scalable solution for autonomous driving. However, existing regression-based approaches often overlook inherent geometric priors, resulting in suboptimal training efficiency and limited localization accuracy. In this paper, we propose a novel homography-guided pose estimator network for fine-grained visual localization between multi-view images and standard-definition (SD) maps. We construct input pairs that satisfy a homography constraint by projecting ground-view features into the BEV domain and enforcing semantic alignment with map features. Then we leverage homography relationships to guide feature fusion and restrict the pose outputs to a valid feasible region, which significantly improves training efficiency and localization accuracy compared to prior methods relying on attention-based fusion and direct 3-DoF pose regression. To the best of our knowledge, this is the first work to unify BEV semantic reasoning with homography learning for image-to-map localization. Furthermore, by explicitly modeling homography transformations, the proposed framework naturally supports cross-resolution inputs, enhancing model flexibility. Extensive experiments on the nuScenes dataset demonstrate that our approach significantly outperforms existing state-of-the-art visual localization methods. Code and pretrained models will be publicly released to foster future research."
102,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,MajutsuCity: Language-driven Aesthetic-adaptive City Generation with Controllable 3D Assets and Layouts,3D Vision & Geometry,3D Reconstruction,general_reconstruction; surface_occupancy; robotics_mapping; generation_editing; data_benchmark,multimodal / language,mesh / surface; editable / generative 3D,benchmark/data; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Generating realistic 3D cities is fundamental to world models, virtual reality, and game development, where an ideal urban scene must satisfy both stylistic diversity, fine-grained, and controllability. However, existing methods struggle to balance the creative flexibility offered by text-based generation with the object-level editability enabled by explicit structural representations.  We introduce MajutsuCity, a natural language–driven and aesthetically adaptive framework for synthesizing structurally consistent and stylistically diverse 3D urban scenes. MajutsuCity represents a city as a composition of controllable layouts, assets, and materials, and operates through a four-stage pipeline. To extend controllability beyond initial generation, we further integrate MajutsuAgent, an interactive language-grounded editing agent that supports five object-level operations. To support photorealistic and customizable scene synthesis, we also construct MajutsuDataset, a high-quality multimodal dataset containing 2D semantic layouts and height maps, diverse 3D building assets, and curated PBR materials and skyboxes, each accompanied by detailed annotations. Meanwhile, we develop a practical set of evaluation metrics, covering key dimensions such as structural consistency, scene complexity, material fidelity, and lighting atmosphere. Extensive experiments demonstrate MajutsuCity reduces layout FID by 83.7% compared with CityDreamer and by 20.1% over CityCraft. Our method ranks first across all AQS and RDR scores, outperforming existing methods by a clear margin. These results confirm MajutsuCity as a new state-of-the-art in geometric fidelity, stylistic adaptability, and semantic controllability for 3D city generation. We expect our framework can inspire new avenues of research in 3D city generation. Our dataset and code will be made publicly available."
103,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,PhysX-Anything: Simulation-Ready Physical 3D Assets from Single Image,3D Vision & Geometry,3D Reconstruction,general_reconstruction; surface_occupancy; robotics_mapping; generation_editing; data_benchmark,single image; multimodal / language,mesh / surface; editable / generative 3D,foundation/prior; efficiency; robustness; benchmark/data; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"3D modeling is shifting from static visual representations toward physical, articulated assets that can be directly used in simulation and interaction. However, most existing 3D generation methods overlook key physical and articulation properties, thereby limiting their utility in embodied AI. To bridge this gap, we introduce \textbf{PhysX-Anything}, the first \textbf{simulation-ready} physical 3D generative framework that, given a single in-the-wild image, produces high-quality sim-ready 3D assets with explicit geometry, articulation, and physical attributes. Specifically, we propose the first VLM-based physical 3D generative model, along with a new 3D representation that efficiently tokenizes geometry. It reduces the number of tokens by \textbf{193$\times$}, enabling explicit geometry learning within standard VLM token budgets without introducing any special tokens during fine-tuning and significantly improving generative quality. In addition, to overcome the limited diversity of existing physical 3D datasets, we construct a new dataset, \textbf{PhysX-Mobility}, which expands the object categories in prior physical 3D datasets by over \textbf{2$\times$} and includes more than 2K common real-world objects with rich physical annotations. Extensive experiments on PhysX-Mobility and in-the-wild images demonstrate that PhysX-Anything delivers strong generative performance and robust generalization. Furthermore, simulation-based experiments in a MuJoCo-style environment validate that our sim-ready assets can be directly used for contact-rich robotic policy learning. We believe PhysX-Anything can substantially empower a broad range of downstream applications, especially in embodied AI and physics-based simulation."
104,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,PromptDepth: Efficient and Promptable Geometric 3D Vision Model \\ for Embodied Intelligence,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; surface_occupancy; robotics_mapping; data_benchmark,RGB-D / depth,depth / normals; mesh / surface,foundation/prior; unified pipeline; efficiency; benchmark/data,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Vision models for embodied intelligence require efficient 3D comprehension and interaction with objects within the scene. Existing 3D reconstruction models either overlook instance-level perception or rely on time-consuming offline reasoning, showing a less adaptability in real-time embodied scenario. In this paper, we present PromptDepth, the first promptable vision model that features both geometric 3D understanding and instance-level interaction especially designed for embodied intelligence. PromptDepth is a feed-forward network that quickly yields panoptic, instanced, or tracked depth map from two corresponding frames, enabling the real-time infer sequences from embodied agents. Specifically, following the minimal prediction problem, we design a promptable Dense Prediction Transformer, making it flexible to interact with unified dense prediction according to a specific prompt. Considering the substantial discrepancy between panoptic and instanced depth map, we further introduce a novel Instanced Label Distribution Smoothing (ILDS) loss, followed by Gram Anchoring, to mitigate the inherent conflict between dense and discrete representation. Trained on synthetic data only, our model achieves state-of-the-art results in both depth estimation and interactive segmentation on public benchmarks. Extensive experiments demonstrate superior visual efficiency in embodied tasks compared to current fundamental models. We believe that our efficient and flexible geometric 3D model offers a new foundation for vision tasks in embodied intelligence. The dataset and the code will be released."
105,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,Representing 3D Faces with Learnable B-Spline Volumes,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy; robotics_mapping,single image; multi-view images,point map / point cloud; mesh / surface,unified pipeline,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"We present CUBE (Control-based Unified B-Splinie Encoding), a new geometric representation for digital humans that combines B-Spline volumes with learned features, and demonstrate its use as decoder for 3D scan registration and monocular 3D face reconstruction. Unlike existing B-Spline representations that use 3D control points, CUBE is parametrized by a lattice (e.g., $8 \times 8 \times 8$) of high-dimensional control features, increasing the models' expressivity. These control features define a continuous mapping from a 3D parametric domain to 3D Euclidean space through an intermediate feature space, which is evaluated in two stages. First, high-dimensional control features are locally blended using the B-Spline bases, yielding a high-dimensional feature vector, where the first three values are the 3D coordinates of a coarse base mesh. This feature vector is input to a small MLP to predict a residual from the base shape, resulting in refined 3D point coordinates. To reconstruct 3D surfaces in dense semantic correspondence, we query CUBE at 3D coordinates sampled from a fixed template mesh. Crucially, CUBE retains the local support of traditional B-spline representations, enabling us to locally edit the surface by updating individual control features. We demonstrate the strengths of this representation by training two transformer-based encoders to predict CUBE's control features from unstructured point clouds and monocular images, achieving state-of-the-art scan registration results compared to recent geometric and multi-view baselines."
106,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,SAGE: Scalable Agentic 3D Scene Generation for Embodied AI,3D Vision & Geometry,3D Reconstruction,general_reconstruction; surface_occupancy; robotics_mapping; generation_editing; data_benchmark,multimodal / language,mesh / surface; editable / generative 3D,scale; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Real-world data collection for embodied agents remains costly and unsafe, calling for scalable, realistic, and simulator-ready 3D environments. However, existing scene-generation systems often rely on rule-based or task-specific pipelines, yielding artifacts and physically invalid scenes. We present SAGE, an agentic framework that, given a user-specified embodied task (e.g., “pick up a bowl and place it on the table”), understands the intent and automatically generates simulation-ready environments at scale. The agent couples multiple generators for layout and object composition with critics that evaluate semantic plausibility, visual realism, and physical stability. Through iterative reasoning and adaptive tool selection, it self-refines the scenes until meeting user intent and physical validity. The resulting environments are realistic, diverse, and directly deployable in modern simulators for policy training. Policies trained purely on this data exhibit clear scaling trends and generalize to unseen objects and layouts, demonstrating the promise of simulation-driven scaling for Embodied AI. We will release both 3D scene and action generation code to foster further research."
107,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,SCE-SLAM: Scale-Consistent Monocular SLAM via Scene Coordinate Embeddings,3D Vision & Geometry,Pose Estimation,general_reconstruction; pose_calibration_localization; surface_occupancy; robotics_mapping; data_benchmark,single image; video / temporal,camera pose; mesh / surface,foundation/prior; unified pipeline; efficiency; scale,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Monocular visual SLAM enables 3D reconstruction from internet video and autonomous navigation on resource-constrained platforms, yet suffers from scale drift, i.e., the gradual divergence of estimated scale over long sequences. Existing frame-to-frame methods achieve real-time performance through local optimization but accumulate scale drift due to the lack of global constraints among independent windows. To address this, we propose SCE-SLAM, an end-to-end SLAM system that maintains scale consistency through scene coordinate embeddings, which are learned patch-level representations encoding 3D geometric relationships under a canonical scale reference. The framework consists of two key modules: geometry-guided aggregation that leverages 3D spatial proximity to propagate scale information from historical observations through geometry-modulated attention, and scene coordinate bundle adjustment that anchors current estimates to the reference scale through explicit 3D coordinate constraints decoded from the scene coordinate embeddings. Experiments on KITTI, Waymo, and vKITTI demonstrate substantial improvements: our method reduces absolute trajectory error by 8.36m on KITTI compared to the best prior approach, while maintaining 36 FPS and achieving scale consistency across large-scale scenes."
108,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,SE(3)-Equivariance with Geometric and Topological Guidance for Category-Level Object Pose Estimation,3D Vision & Geometry,Pose Estimation,general_reconstruction; pose_calibration_localization; surface_occupancy; robotics_mapping; data_benchmark,,camera pose; point map / point cloud,foundation/prior; benchmark/data,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Object pose estimation is a key task for embodied robots, enabling them to interact with objects effectively. Category-level object pose estimation provides a way for robots to estimate the pose of unknown objects. However, estimating object pose from point clouds alone remains challenging. In this paper, we introduce SEGPose, a novel category-level object pose estimation method based on point clouds. Unlike previous methods, SEGPose leverages geometric, topological information, and SE(3)-equivariance, enhancing the network's accuracy in pose prediction. To utilize geometric and topological features, we propose a constraint-based feature extraction and 3D reconstruction method, enabling effective object shape reconstruction. We also design an SE(3)-equivariance feature prediction network to handle pose transformations consistently across viewpoints, improving pose accuracy. Experimental results on benchmark datasets show that SEGPose outperforms all current category-level pose estimation methods based on point clouds. Additionally, we apply the SEGPose to the robotic grasping tasks in real-world scenarios, and the results indicate that SEGPose exhibits excellent generalization capabilities."
109,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,SMVRT: Implicit Human 3D Modeling Using Sparse Multi-view Volumetric Reconstruction with Transformer Fusion,3D Vision & Geometry,3D Reconstruction,general_reconstruction; surface_occupancy; robotics_mapping; data_benchmark,sparse multi-view; multi-view images; video / temporal,mesh / surface; occupancy / voxel,unified pipeline; robustness; benchmark/data,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Recently, the community has witnessed significant progress in human modeling from a single view or multi-views, which often involves ""guessing"" the occluded parts using either generative models or template fitting. In this work, we address these challenges by exploring optimal fusion strategies from sparse views only. We propose an end-to-end implicit 3D reconstruction framework using a sparse multi-view setup. Specifically, we achieve this by exploring fusion blocks at three stages of the network. First, 2D feature encoders carrying out locally and globally, which produce enhanced features. Second, 3D feature grid, formed by attentional fusion of warped multi-view and multi-level 2D features, which follows 3D regularization of feature grids to aggregate spatially coherent multi-view features. Third, attentional 2D3D feature aggregation associated to query point generate  enhanced latent embedding, which is fed into an implicit field decoder for robust occupancy prediction. Evaluation on the THUman 2.1, MultiGarment dataset demonstrates that our system significantly outperforms state-of-the-art methods both qualitatively and quantitatively."
110,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,StreamVLO: Streaming Visual–LiDAR Odometry with Cumulative Drift Compensation,3D Vision & Geometry,Pose Estimation,pose_calibration_localization; depth_correspondence; dynamic_4d; robotics_mapping,video / temporal; LiDAR / driving; multimodal / language,camera pose; 4D scene,foundation/prior; unified pipeline; efficiency; dynamic,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"We propose StreamVLO, a streaming visual–LiDAR odometry framework that performs unified spatio-temporal correlation with Mamba models and tackles the long-standing cumulative drift problem via an online Cumulative Drift Compensation scheme for localization in 4D dynamic environments. Specifically, StreamVLO introduces a unified spatio-temporal correlation module built on Mamba to fuse heterogeneous visual and LiDAR cues across multi-frame clips, overcoming the limited temporal exploration of prior pairwise methods. Furthermore, a Cumulative Drift Compensation module minimizes cumulative drift by iteratively learning residual corrections from multiple historical frames in a causal manner. To strengthen spatial feature representation on salient regions, we adopt a Keypoint-Aware Auxiliary Loss with a winner-takes-all strategy. StreamVLO achieves state-of-the-art performance on two commonly used autonomous driving datasets, reducing errors by 19\% ($t_{\text{rel}}$) and 22\% ($r_{\text{rel}}$) on KITTI, and by 18\% ATE and 16\% RPE on Argoverse, while remaining suitable for real-time deployment."
111,100,important bridge paper,B. bridge: reconstruction becomes mapping/world model,VLM-Loc: Localization in Point Cloud Maps via Vision-Language Models,3D Vision & Geometry,Pose Estimation,pose_calibration_localization; depth_correspondence; surface_occupancy; robotics_mapping; data_benchmark,LiDAR / driving; multimodal / language,camera pose; point map / point cloud,robustness; benchmark/data,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Text-to-point-cloud (T2P) localization aims to infer precise spatial positions within 3D point cloud maps from natural language descriptions, reflecting how humans perceive and communicate spatial layouts through language. However, existing methods largely rely on shallow text-point cloud correspondence without effective spatial reasoning, limiting their accuracy in complex environments. To address this limitation, we propose VLM-Loc, a framework that leverages the spatial reasoning capability of large vision-language models (VLMs) for T2P localization. Specifically, we transform point clouds into bird’s-eye-view (BEV) images and scene graphs that jointly encode geometric and semantic context, providing structured inputs for the VLM to learn cross-modal representations bridging linguistic and spatial semantics. On top of these representations, we introduce a partial node assignment mechanism that explicitly associates textual cues with scene graph nodes, enabling interpretable spatial reasoning for accurate localization. To facilitate systematic evaluation across diverse scenes, we present CityLoc, a benchmark built from multi-source point clouds for fine-grained T2P localization. Experiments on CityLoc demonstrate VLM-Loc achieves superior accuracy and robustness compared to state-of-the-art methods. Our code, model, and dataset will be publicly released."
112,100,core trend paper,B. bridge: reconstruction becomes mapping/world model,Volumetric Functional Maps,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; surface_occupancy; robotics_mapping,RGB-D / depth; multimodal / language,depth / normals; mesh / surface,,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"The computation of volumetric correspondences between 3D shapes is a prominent tool for medical and industrial applications. In this work, we pave the way for spectral volume mapping, extending for the first time the functional maps framework from the surface to the volumetric setting. We show that the eigenfunctions of the volumetric Laplace operator define a functional space that is suitable for high-quality signal transfer. We also experiment with various techniques that edit this functional space, porting them to volume domains. We validate our method on novel volumetric datasets and on tetrahedralizations of well-established surface datasets, also showcasing practical applications involving both discrete and continuous signal mapping, for segmentation transfer, mesh connectivity transfer, and solid texturing. Last but not least, we show that considering the volumetric spectrum greatly improves the accuracy for classical shape matching tasks among surfaces, consistently outperforming existing surface-only spectral methods."
113,99,core trend paper,B. bridge: reconstruction becomes mapping/world model,Deep Feature Deformation Weights,3D Vision & Geometry,3D Reconstruction,general_reconstruction; surface_occupancy; robotics_mapping; generation_editing,,mesh / surface; editable / generative 3D,foundation/prior; efficiency; robustness; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Handle-based mesh deformation has been a long-standing paradigm in computer graphics, enabling intuitive shape edits from sparse controls. Classic techniques offer precise and rapid deformation control. However, they solve an optimization problem with constraints defined by the choice of control handles, requiring a user to know apriori the ideal distribution of handles on the shape to accomplish the desired edit. The mapping from handle set to deformation behavior is often unintuitive and, importantly, non-semantic. Modern data-driven methods, on the other hand, leverage the data prior to obtain semantic edits, at the cost of fine-grained control and speed. We propose a technique that achieves the best of both worlds by leveraging the semantic prior of data and the precise control and speed of traditional frameworks. Our approach is surprisingly simple yet effective: deep feature proximity makes for smooth and semantic deformation weights, with no need for additional regularization. Importantly, these weights can be computed in real-time for any surface point, whereas all prior methods require optimization of these weights. Moreover, the semantic prior from deep features enables co-deformation of semantic parts. We introduce an improved feature distillation pipeline, barycentric feature distillation, which leverages the full visual signal from shape renders to make the compute cost robust to mesh resolution. This allows deep feature weights to be computed for even high resolution meshes in under a minute, in contrast to potentially hours for both classical and neural methods. We preserve and extend existing functionality of classical methods through feature space constraints and locality weighting.Our field representation allows for automatic detection of semantic symmetries, which we use to produce symmetry-preserving deformations. We show a proof-of-concept application which can produce deformations for meshes up to 1 million faces in real-time on a consumer-grade machine."
